"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Bahamas, The","BHS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17480","17010","16830","16710","17270","18170","20600","16670","18000","19120","20020","20610","21070","20900","21270","22100","22930","23380","23100","21390","21280","21850","21540","",
"Bosnia and Herzegovina","BIH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","870","1120","2310","3170","4590","4780","4840","5040","5280","5540","5980","6440","7230","7940","8800","8720","8850","9350","9650","",
"Belarus","BLR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5230","5340","4930","4650","4190","3840","4040","4580","5040","5320","5770","6230","6700","7390","8520","9680","11000","12250","13770","13790","15080","16410","16750","",
"Belize","BLZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3250","3610","4030","4290","4300","4330","4350","4460","4510","4750","6110","6480","6660","7320","7840","8090","6820","6780","7020","7360","7670","7940","8260","",
"Bermuda","BMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26550","26540","27130","28460","29030","30720","","","","","","","","","","","","75170","74870","70050","69340","66640","66390","",
"Bolivia","BOL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2300","2460","2520","2630","2760","2870","3020","3150","3290","3270","3340","3410","3480","3530","3690","3920","4180","4400","4710","4800","4950","5200","5400","",
"Brazil","BRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6300","6530","6570","6890","7360","7740","7930","8180","8120","8050","8500","8620","8860","9050","9730","10260","10920","11820","12520","12510","13520","14030","14320","",
"Barbados","BRB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8250","8270","8060","8260","8740","8980","9260","10040","10540","10880","11320","11180","11350","11710","12240","12910","13790","14590","14660","14280","14660","14930","15080","",
"Brunei Darussalam","BRN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49520","51300","53430","53350","54690","56820","58050","56790","55770","56980","58620","60280","62230","63980","64760","65820","69520","70570","69270","67530","","","","",
"Bhutan","BTN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1420","1430","1500","1610","1810","1880","2040","2210","2150","2230","2860","3070","3310","3500","3700","4020","4370","5140","5300","5560","6050","6560","7170","",
