Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Unit,Value,Flag,FlagD
"CP","Consumer Price Indices","5000","World","7003","March","23013","Consumer Prices, Food Indices (2000 = 100)","2013","","227.92","","Official data"
"CP","Consumer Price Indices","5000","World","7003","March","23013","Consumer Prices, Food Indices (2000 = 100)","2014","","240.34","","Official data"
"CP","Consumer Price Indices","5000","World","7004","April","23013","Consumer Prices, Food Indices (2000 = 100)","2000","","99.69","","Official data"
"CP","Consumer Price Indices","5000","World","7004","April","23013","Consumer Prices, Food Indices (2000 = 100)","2001","","103.15","","Official data"
"CP","Consumer Price Indices","5000","World","7004","April","23013","Consumer Prices, Food Indices (2000 = 100)","2002","","107.33","","Official data"
"CP","Consumer Price Indices","5000","World","7004","April","23013","Consumer Prices, Food Indices (2000 = 100)","2003","","114.18","","Official data"
"CP","Consumer Price Indices","5000","World","7004","April","23013","Consumer Prices, Food Indices (2000 = 100)","2004","","120.86","","Official data"
"CP","Consumer Price Indices","5000","World","7004","April","23013","Consumer Prices, Food Indices (2000 = 100)","2005","","127.12","","Official data"
"CP","Consumer Price Indices","5000","World","7004","April","23013","Consumer Prices, Food Indices (2000 = 100)","2006","","133.11","","Official data"
"CP","Consumer Price Indices","5000","World","7004","April","23013","Consumer Prices, Food Indices (2000 = 100)","2007","","141.53","","Official data"
"CP","Consumer Price Indices","5000","World","7004","April","23013","Consumer Prices, Food Indices (2000 = 100)","2008","","162.15","","Official data"
"CP","Consumer Price Indices","5000","World","7004","April","23013","Consumer Prices, Food Indices (2000 = 100)","2009","","172.28","","Official data"
"CP","Consumer Price Indices","5000","World","7004","April","23013","Consumer Prices, Food Indices (2000 = 100)","2010","","184.91","","Official data"
"CP","Consumer Price Indices","5000","World","7004","April","23013","Consumer Prices, Food Indices (2000 = 100)","2011","","200.99","","Official data"
"CP","Consumer Price Indices","5000","World","7004","April","23013","Consumer Prices, Food Indices (2000 = 100)","2012","","214.03","","Official data"
"CP","Consumer Price Indices","5000","World","7004","April","23013","Consumer Prices, Food Indices (2000 = 100)","2013","","229.32","","Official data"
"CP","Consumer Price Indices","5000","World","7004","April","23013","Consumer Prices, Food Indices (2000 = 100)","2014","","241.46","","Official data"
"CP","Consumer Price Indices","5000","World","7005","May","23013","Consumer Prices, Food Indices (2000 = 100)","2000","","99.69","","Official data"
"CP","Consumer Price Indices","5000","World","7005","May","23013","Consumer Prices, Food Indices (2000 = 100)","2001","","103.60","","Official data"
"CP","Consumer Price Indices","5000","World","7005","May","23013","Consumer Prices, Food Indices (2000 = 100)","2002","","107.60","","Official data"
"CP","Consumer Price Indices","5000","World","7005","May","23013","Consumer Prices, Food Indices (2000 = 100)","2003","","114.19","","Official data"
"CP","Consumer Price Indices","5000","World","7005","May","23013","Consumer Prices, Food Indices (2000 = 100)","2004","","121.27","","Official data"
"CP","Consumer Price Indices","5000","World","7005","May","23013","Consumer Prices, Food Indices (2000 = 100)","2005","","127.21","","Official data"
"CP","Consumer Price Indices","5000","World","7005","May","23013","Consumer Prices, Food Indices (2000 = 100)","2006","","133.91","","Official data"
"CP","Consumer Price Indices","5000","World","7005","May","23013","Consumer Prices, Food Indices (2000 = 100)","2007","","142.07","","Official data"
"CP","Consumer Price Indices","5000","World","7005","May","23013","Consumer Prices, Food Indices (2000 = 100)","2008","","163.35","","Official data"
